GEOID,NMTC Eligibility,Opportunity Zone
01017953800,Severe Distress or Non-Metropolitan,No
01017953900,Severe Distress or Non-Metropolitan,No
01017954001,Severe Distress or Non-Metropolitan,No
01017954002,Severe Distress or Non-Metropolitan,No
01017954200,Not Eligible,No
01017954300,Not Eligible,Low-Income Community
01017954600,Severe Distress or Non-Metropolitan,No
01017954700,Not Eligible,No
01017954800,Severe Distress or Non-Metropolitan,No
01019955701,Severe Distress or Non-Metropolitan,No
01019955702,Severe Distress or Non-Metropolitan,No
01019955801,Not Eligible,No
01019955802,Not Eligible,No
01019955900,Not Eligible,Low-Income Community
01019956000,Not Eligible,No
01019956101,Not Eligible,No
01019956102,Not Eligible,No
01021060101,Eligible,No
01021060103,Not Eligible,No
01021060104,Not Eligible,No
01021060200,Not Eligible,No
01021060300,Not Eligible,No
01021060401,Eligible,No
01021060403,Eligible,No
01021060404,Eligible,No
01021060500,Eligible,No
01021060600,Not Eligible,No
01021060701,Severe Distress or Non-Metropolitan,No
01021060702,Eligible,No
01023956700,Deep Distress or High Migration Rural County,No
01023956800,Not Eligible,Low-Income Community
01023956900,Deep Distress or High Migration Rural County,No
01023957000,Deep Distress or High Migration Rural County,No
01025957500,Deep Distress or High Migration Rural County,No
01025957601,Not Eligible,No
01025957603,Not Eligible,No
01025957604,Not Eligible,No
01025957700,Deep Distress or High Migration Rural County,No
01025957800,Deep Distress or High Migration Rural County,No
01025957901,Deep Distress or High Migration Rural County,No
01025957902,Deep Distress or High Migration Rural County,Low-Income Community
01025958003,Deep Distress or High Migration Rural County,No
01027958900,Not Eligible,No
01027959000,Severe Distress or Non-Metropolitan,Low-Income Community
01027959100,Not Eligible,No
01027959200,Severe Distress or Non-Metropolitan,No
01029959500,Not Eligible,No
01029959600,Severe Distress or Non-Metropolitan,Low-Income Community
01029959700,Not Eligible,No
01029959800,Not Eligible,No
01031010100,Severe Distress or Non-Metropolitan,No
01031010200,Not Eligible,No
01031010300,Not Eligible,No
01031010400,Not Eligible,No
01031010500,Severe Distress or Non-Metropolitan,No
01031010600,Not Eligible,No
01031010700,Not Eligible,No
01031010800,Not Eligible,No
01031010900,Severe Distress or Non-Metropolitan,Low-Income Community
01031011000,Severe Distress or Non-Metropolitan,No
01031011100,Severe Distress or Non-Metropolitan,No
01031011203,Not Eligible,No
01031011204,Not Eligible,No
01031011205,Not Eligible,No
01031011206,Not Eligible,No
01031011300,Deep Distress or High Migration Rural County,No
01033020100,Eligible,No
01033020200,Eligible,Low-Income Community
01033020300,Deep Distress or High Migration Rural County,No
01033020400,Not Eligible,No
01033020500,Eligible,No
01033020600,Eligible,No
01033020703,Not Eligible,No
01033020704,Not Eligible,No
01033020705,Eligible,No
01033020706,Not Eligible,No
01033020801,Not Eligible,No
01033020802,Not Eligible,No
01033020901,Not Eligible,No
01033020902,Not Eligible,No
01033021000,Eligible,No
01035960200,Deep Distress or High Migration Rural County,No
01035960300,Deep Distress or High Migration Rural County,No
01035960400,Not Eligible,Low-Income Community
01035960500,Deep Distress or High Migration Rural County,No
01035960600,Deep Distress or High Migration Rural County,No
01037961000,Deep Distress or High Migration Rural County,Low-Income Community
01037961100,Not Eligible,No
01037961200,Not Eligible,No
01039961600,Not Eligible,No
01039961700,Severe Distress or Non-Metropolitan,No
01039961800,Severe Distress or Non-Metropolitan,No
01039961900,Not Eligible,No
01039962000,Severe Distress or Non-Metropolitan,Low-Income Community
01039962100,Deep Distress or High Migration Rural County,No
01039962300,Severe Distress or Non-Metropolitan,No
01039962400,Not Eligible,No
01039962500,Severe Distress or Non-Metropolitan,No
01039962600,Deep Distress or High Migration Rural County,No
01039962700,Severe Distress or Non-Metropolitan,Low-Income Community
01039962800,Severe Distress or Non-Metropolitan,No
01039962900,Not Eligible,No
01039963000,Severe Distress or Non-Metropolitan,No
01041963400,Not Eligible,No
01041963500,Severe Distress or Non-Metropolitan,No
01041963600,Severe Distress or Non-Metropolitan,No
01041963700,Not Eligible,Low-Income Community
01041963800,Not Eligible,No
01041963900,Not Eligible,No
01043964100,Severe Distress or Non-Metropolitan,No
01043964201,Not Eligible,No
01043964202,Not Eligible,No
01043964300,Not Eligible,No
01043964400,Not Eligible,No
01043964500,Not Eligible,No
01043964600,Not Eligible,No
01043964700,Not Eligible,No
01043964800,Severe Distress or Non-Metropolitan,Low-Income Community
01043964901,Not Eligible,No
01043964902,Not Eligible,No
01043965001,Not Eligible,No
01043965002,Not Eligible,No
01043965100,Not Eligible,No
01043965200,Not Eligible,No
01043965300,Not Eligible,No
01043965401,Severe Distress or Non-Metropolitan,No
01043965402,Severe Distress or Non-Metropolitan,No
01043965501,Not Eligible,No
01043965502,Not Eligible,No
01043965600,Not Eligible,No
01043965700,Not Eligible,No
01045020000,Deep Distress or High Migration Rural County,No
01045020100,Severe Distress or Non-Metropolitan,No
01045020200,Not Eligible,No
01045020300,Deep Distress or High Migration Rural County,No
01045020400,Not Eligible,No
01045020500,Severe Distress or Non-Metropolitan,No
01045020700,Deep Distress or High Migration Rural County,Low-Income Community
01045020801,Deep Distress or High Migration Rural County,No
01045020802,Not Eligible,No
01045021101,Not Eligible,No
01045021102,Severe Distress or Non-Metropolitan,No
01045021200,Severe Distress or Non-Metropolitan,No
01045021300,Not Eligible,No
01045021400,Severe Distress or Non-Metropolitan,No
01047956101,Not Eligible,No
01047956102,Severe Distress or Non-Metropolitan,No
01047956201,Not Eligible,No
01047956202,Severe Distress or Non-Metropolitan,No
01047956300,Deep Distress or High Migration Rural County,No
01047956400,Deep Distress or High Migration Rural County,No
01047956500,Deep Distress or High Migration Rural County,Low-Income Community
01047956600,Deep Distress or High Migration Rural County,No
01047956701,Not Eligible,No
01047956702,Deep Distress or High Migration Rural County,No
01047956800,Severe Distress or Non-Metropolitan,No
01047956900,Deep Distress or High Migration Rural County,No
01047957000,Deep Distress or High Migration Rural County,No
01047957100,Deep Distress or High Migration Rural County,No
01047957200,Deep Distress or High Migration Rural County,No
01047957301,Deep Distress or High Migration Rural County,No
01047957302,Deep Distress or High Migration Rural County,No
01049960101,Severe Distress or Non-Metropolitan,No
01049960102,Not Eligible,No
01049960200,Severe Distress or Non-Metropolitan,No
01049960301,Not Eligible,No
01049960302,Severe Distress or Non-Metropolitan,No
01049960303,Severe Distress or Non-Metropolitan,No
01049960401,Not Eligible,No
01049960402,Not Eligible,No
01049960500,Severe Distress or Non-Metropolitan,No
01049960601,Not Eligible,No
01049960602,Severe Distress or Non-Metropolitan,No
01049960701,Severe Distress or Non-Metropolitan,No
01049960702,Not Eligible,No
01049960703,Severe Distress or Non-Metropolitan,No
01049960800,Severe Distress or Non-Metropolitan,No
01049960900,Not Eligible,Low-Income Community
01049961000,Severe Distress or Non-Metropolitan,No
01049961100,Not Eligible,No
01049961200,Not Eligible,No
01049961300,Severe Distress or Non-Metropolitan,No
01049961400,Severe Distress or Non-Metropolitan,No
01051030101,Not Eligible,No
01051030102,Not Eligible,No
01051030103,Not Eligible,No
01051030200,Not Eligible,No
01051030300,Not Eligible,No
01051030401,Not Eligible,No
01051030402,Not Eligible,No
01051030500,Not Eligible,No
01051030600,Not Eligible,No
01051030701,Not Eligible,No
01051030702,Not Eligible,No
01051030801,Not Eligible,No
01051030802,Eligible,No
01051030901,Not Eligible,No
01051030902,Not Eligible,No
01051031001,Severe Distress or Non-Metropolitan,No
01051031002,Not Eligible,No
01051031100,Not Eligible,No
01051031200,Eligible,No
01051031300,Not Eligible,Low-Income Community
01053969801,Deep Distress or High Migration Rural County,No
01053969802,Severe Distress or Non-Metropolitan,No
01053969900,Severe Distress or Non-Metropolitan,No
01053970100,Not Eligible,No
01053970200,Severe Distress or Non-Metropolitan,No
01053970300,Severe Distress or Non-Metropolitan,No
01053970400,Not Eligible,Low-Income Community
01053970500,Severe Distress or Non-Metropolitan,No
01053970600,Deep Distress or High Migration Rural County,No
01053970700,Severe Distress or Non-Metropolitan,No
01055000200,Severe Distress or Non-Metropolitan,No
01055000300,Deep Distress or High Migration Rural County,No
01055000400,Not Eligible,No
01055000500,Severe Distress or Non-Metropolitan,No
01055000600,Deep Distress or High Migration Rural County,No
01055000700,Deep Distress or High Migration Rural County,No
01055000800,Deep Distress or High Migration Rural County,No
01055000900,Eligible,No
01055001000,Deep Distress or High Migration Rural County,No
01055001100,Not Eligible,No
01055001200,Not Eligible,Low-Income Community
01055001300,Deep Distress or High Migration Rural County,No
01055001600,Eligible,No
01055001700,Deep Distress or High Migration Rural County,No
01055010100,Not Eligible,No
01055010201,Not Eligible,No
01055010202,Not Eligible,No
01055010300,Eligible,No
01055010401,Deep Distress or High Migration Rural County,No
01055010402,Not Eligible,No
01055010503,Not Eligible,No
01055010504,Not Eligible,No
01055010505,Not Eligible,No
01055010506,Not Eligible,No
01055010601,Not Eligible,No
01055010602,Not Eligible,No
01055010700,Not Eligible,No
01055010800,Not Eligible,No
01055010900,Not Eligible,No
01055011001,Not Eligible,No
01055011002,Eligible,No
01055011100,Eligible,No
01055011200,Eligible,No
01057020000,Deep Distress or High Migration Rural County,No
01057020100,Not Eligible,No
01057020200,Deep Distress or High Migration Rural County,No
01057020300,Deep Distress or High Migration Rural County,Low-Income Community
01057020400,Severe Distress or Non-Metropolitan,No
01059972900,Severe Distress or Non-Metropolitan,No
01059973000,Severe Distress or Non-Metropolitan,No
01059973100,Severe Distress or Non-Metropolitan,No
01059973200,Severe Distress or Non-Metropolitan,No
01059973300,Severe Distress or Non-Metropolitan,No
01059973400,Severe Distress or Non-Metropolitan,No
01059973500,Not Eligible,No
01059973600,Severe Distress or Non-Metropolitan,No
01059973701,Deep Distress or High Migration Rural County,No
01059973702,Deep Distress or High Migration Rural County,No
01059973703,Not Eligible,No
01061050100,Eligible,No
01061050200,Not Eligible,No
01061050300,Eligible,Low-Income Community
01061050400,Eligible,No
01061050500,Eligible,No
01061050600,Not Eligible,No
01063060000,Deep Distress or High Migration Rural County,No
01063060101,Deep Distress or High Migration Rural County,No
01063060102,Deep Distress or High Migration Rural County,No
01063060200,Deep Distress or High Migration Rural County,Low-Income Community
01065040000,Not Eligible,No
01065040100,Not Eligible,No
01065040200,Severe Distress or Non-Metropolitan,No
01065040300,Severe Distress or Non-Metropolitan,No
01065040401,Deep Distress or High Migration Rural County,No
01065040402,Severe Distress or Non-Metropolitan,No
01065040500,Eligible,No
01067030100,Eligible,No
01067030200,Severe Distress or Non-Metropolitan,Low-Income Community
01067030300,Eligible,No
01067030400,Not Eligible,No
01067030500,Not Eligible,No
01067030600,Not Eligible,No
01069040100,Not Eligible,No
01069040203,Not Eligible,No
01069040204,Not Eligible,No
01069040205,Not Eligible,No
01069040206,Not Eligible,No
01069040301,Not Eligible,No
01069040302,Severe Distress or Non-Metropolitan,No
01069040400,Not Eligible,No
01069040500,Not Eligible,No
01069040600,Deep Distress or High Migration Rural County,No
01069040700,Severe Distress or Non-Metropolitan,No
01069040801,Not Eligible,No
01069040802,Eligible,No
01069040900,Not Eligible,No
01069041000,Severe Distress or Non-Metropolitan,No
01069041100,Eligible,No
01069041200,Deep Distress or High Migration Rural County,No
01069041400,Severe Distress or Non-Metropolitan,No
01069041500,Severe Distress or Non-Metropolitan,Low-Income Community
01069041600,Not Eligible,No
01069041700,Not Eligible,No
01069041800,Not Eligible,No
01069041901,Not Eligible,No
01069041902,Not Eligible,No
01069042000,Eligible,No
01069042100,Eligible,No
01071950101,Severe Distress or Non-Metropolitan,No
01071950102,Severe Distress or Non-Metropolitan,No
01071950200,Severe Distress or Non-Metropolitan,No
01071950301,Severe Distress or Non-Metropolitan,No
01071950302,Severe Distress or Non-Metropolitan,No
01071950400,Not Eligible,No
01071950500,Not Eligible,No
01071950601,Severe Distress or Non-Metropolitan,No
01071950602,Severe Distress or Non-Metropolitan,No
01071950700,Severe Distress or Non-Metropolitan,No
01071950800,Severe Distress or Non-Metropolitan,No
01071950901,Severe Distress or Non-Metropolitan,No
01071950902,Not Eligible,No
01071951000,Severe Distress or Non-Metropolitan,No
01071951101,Severe Distress or Non-Metropolitan,No
01071951102,Severe Distress or Non-Metropolitan,No
01073000100,Severe Distress or Non-Metropolitan,Low-Income Community
01073000300,Deep Distress or High Migration Rural County,Low-Income Community
01073000400,Deep Distress or High Migration Rural County,Low-Income Community
01073000500,Deep Distress or High Migration Rural County,Low-Income Community
01073000700,Deep Distress or High Migration Rural County,Low-Income Community
01073000800,Deep Distress or High Migration Rural County,Low-Income Community
01073001100,Eligible,No
01073001200,Not Eligible,Low-Income Community
01073001400,Severe Distress or Non-Metropolitan,Low-Income Community
01073001500,Deep Distress or High Migration Rural County,Low-Income Community
01073001600,Severe Distress or Non-Metropolitan,Low-Income Community
01073001902,Deep Distress or High Migration Rural County,Low-Income Community
01073002000,Deep Distress or High Migration Rural County,No
01073002100,Severe Distress or Non-Metropolitan,No
01073002200,Deep Distress or High Migration Rural County,Low-Income Community
01073002303,Deep Distress or High Migration Rural County,Low-Income Community
01073002305,Not Eligible,No
01073002306,Not Eligible,No
01073002401,Severe Distress or Non-Metropolitan,No
01073002402,Deep Distress or High Migration Rural County,No
01073002701,Not Eligible,No
01073002702,Deep Distress or High Migration Rural County,No
01073002900,Deep Distress or High Migration Rural County,Low-Income Community
01073003001,Deep Distress or High Migration Rural County,Low-Income Community
01073003002,Deep Distress or High Migration Rural County,Low-Income Community
01073003100,Severe Distress or Non-Metropolitan,No
01073003200,Deep Distress or High Migration Rural County,Low-Income Community
01073003300,Deep Distress or High Migration Rural County,No
01073003400,Severe Distress or Non-Metropolitan,No
01073003500,Eligible,No
01073003600,Eligible,No
01073003700,Severe Distress or Non-Metropolitan,No
01073003802,Eligible,No
01073003803,Eligible,No
01073003900,Severe Distress or Non-Metropolitan,Low-Income Community
01073004000,Deep Distress or High Migration Rural County,No
01073004200,Severe Distress or Non-Metropolitan,Low-Income Community
01073004501,Not Eligible,No
01073004502,Deep Distress or High Migration Rural County,No
01073004701,Not Eligible,No
01073004702,Not Eligible,No
01073004800,Not Eligible,No
01073004901,Eligible,No
01073004902,Eligible,No
01073005000,Eligible,No
01073005101,Deep Distress or High Migration Rural County,No
01073005103,Severe Distress or Non-Metropolitan,No
01073005104,Eligible,No
01073005200,Severe Distress or Non-Metropolitan,No
01073005302,Not Eligible,No
01073005500,Deep Distress or High Migration Rural County,No
01073005600,Not Eligible,No
01073005701,Deep Distress or High Migration Rural County,No
01073005702,Severe Distress or Non-Metropolitan,No
01073005800,Severe Distress or Non-Metropolitan,No
01073005903,Not Eligible,No
01073005905,Eligible,No
01073005907,Deep Distress or High Migration Rural County,No
01073005908,Severe Distress or Non-Metropolitan,No
01073005909,Severe Distress or Non-Metropolitan,No
01073005910,Eligible,No
01073010001,Severe Distress or Non-Metropolitan,No
01073010002,Not Eligible,No
01073010100,Severe Distress or Non-Metropolitan,No
01073010200,Deep Distress or High Migration Rural County,Low-Income Community
01073010301,Eligible,No
01073010302,Deep Distress or High Migration Rural County,No
01073010401,Deep Distress or High Migration Rural County,No
01073010402,Eligible,No
01073010500,Severe Distress or Non-Metropolitan,No
01073010603,Eligible,No
01073010604,Severe Distress or Non-Metropolitan,No
01073010605,Eligible,No
01073010701,Not Eligible,No
01073010702,Not Eligible,No
01073010703,Not Eligible,No
01073010704,Not Eligible,No
01073010705,Not Eligible,No
01073010706,Not Eligible,No
01073010801,Not Eligible,No
01073010802,Not Eligible,No
01073010803,Not Eligible,No
01073010804,Not Eligible,No
01073010806,Not Eligible,No
01073010807,Not Eligible,No
01073010900,Severe Distress or Non-Metropolitan,No
01073011002,Severe Distress or Non-Metropolitan,No
01073011003,Severe Distress or Non-Metropolitan,No
01073011004,Not Eligible,No
01073011108,Not Eligible,No
01073011109,Not Eligible,No
01073011110,Eligible,No
01073011112,Severe Distress or Non-Metropolitan,No
01073011113,Not Eligible,No
01073011114,Not Eligible,No
01073011115,Not Eligible,No
01073011116,Not Eligible,No
01073011117,Not Eligible,No
01073011205,Not Eligible,No
01073011206,Not Eligible,No
01073011207,Severe Distress or Non-Metropolitan,No
01073011208,Not Eligible,No
01073011209,Deep Distress or High Migration Rural County,Low-Income Community
01073011210,Deep Distress or High Migration Rural County,No
01073011301,Not Eligible,No
01073011303,Not Eligible,No
01073011304,Not Eligible,No
01073011401,Eligible,No
01073011402,Not Eligible,No
01073011500,Not Eligible,No
01073011600,Not Eligible,No
01073011704,Not Eligible,No
01073011706,Not Eligible,No
01073011707,Eligible,No
01073011708,Not Eligible,No
01073011709,Not Eligible,No
01073011710,Not Eligible,No
01073011803,Severe Distress or Non-Metropolitan,No
01073011804,Severe Distress or Non-Metropolitan,No
01073011805,Severe Distress or Non-Metropolitan,No
01073011806,Eligible,No
01073011901,Deep Distress or High Migration Rural County,No
01073011904,Deep Distress or High Migration Rural County,No
01073012001,Not Eligible,No
01073012003,Not Eligible,No
01073012004,Not Eligible,No
01073012103,Severe Distress or Non-Metropolitan,No
01073012104,Not Eligible,No
01073012200,Not Eligible,No
01073012302,Not Eligible,No
01073012304,Not Eligible,No
01073012306,Not Eligible,No
01073012307,Not Eligible,No
01073012401,Not Eligible,No
01073012402,Eligible,No
01073012403,Not Eligible,No
01073012500,Severe Distress or Non-Metropolitan,No
01073012602,Eligible,No
01073012701,Not Eligible,Low-Income Community
01073012703,Not Eligible,No
01073012704,Not Eligible,No
01073012802,Not Eligible,No
01073012804,Not Eligible,No
01073012805,Not Eligible,No
01073012905,Not Eligible,No
01073012907,Not Eligible,No
01073012908,Severe Distress or Non-Metropolitan,No
01073012910,Not Eligible,No
01073012911,Not Eligible,No
01073012913,Not Eligible,No
01073012914,Not Eligible,No
01073012916,Not Eligible,No
01073012917,Not Eligible,No
01073012918,Not Eligible,No
01073012919,Not Eligible,No
01073012920,Not Eligible,No
01073012921,Not Eligible,No
01073013002,Severe Distress or Non-Metropolitan,No
01073013100,Deep Distress or High Migration Rural County,Low-Income Community
01073013200,Severe Distress or Non-Metropolitan,No
01073013300,Severe Distress or Non-Metropolitan,No
01073013400,Severe Distress or Non-Metropolitan,No
01073013601,Severe Distress or Non-Metropolitan,No
01073013801,Deep Distress or High Migration Rural County,No
01073013901,Severe Distress or Non-Metropolitan,No
01073013902,Not Eligible,No
01073014001,Not Eligible,No
01073014002,Not Eligible,No
01073014104,Not Eligible,No
01073014105,Not Eligible,No
01073014106,Not Eligible,No
01073014107,Not Eligible,No
01073014205,Not Eligible,No
01073014206,Not Eligible,No
01073014207,Not Eligible,No
01073014208,Not Eligible,No
01073014209,Not Eligible,No
01073014301,Not Eligible,No
01073014303,Not Eligible,No
01073014304,Eligible,No
01073014404,Not Eligible,No
01073014405,Not Eligible,No
01073014406,Not Eligible,No
01073014408,Not Eligible,No
01073014409,Not Eligible,No
01073014410,Not Eligible,No
01073014412,Not Eligible,No
01073014414,Not Eligible,No
01073014415,Not Eligible,No
01075030000,Deep Distress or High Migration Rural County,No
01075030101,Deep Distress or High Migration Rural County,No
01075030102,Severe Distress or Non-Metropolitan,No
01075030200,Not Eligible,No
01077010100,Deep Distress or High Migration Rural County,Low-Income Community
01077010200,Eligible,No
01077010300,Deep Distress or High Migration Rural County,No
01077010400,Eligible,No
01077010600,Severe Distress or Non-Metropolitan,No
01077010700,Severe Distress or Non-Metropolitan,No
01077010800,Severe Distress or Non-Metropolitan,No
01077010901,Not Eligible,No
01077010902,Eligible,No
01077011000,Eligible,No
01077011101,Not Eligible,No
01077011102,Not Eligible,No
01077011200,Not Eligible,No
01077011300,Eligible,No
01077011401,Not Eligible,No
01077011402,Not Eligible,No
01077011502,Not Eligible,No
01077011503,Not Eligible,No
01077011504,Not Eligible,No
01077011602,Not Eligible,No
01077011603,Not Eligible,No
01077011605,Not Eligible,No
01077011606,Not Eligible,No
01077011700,Not Eligible,No
01077011801,Not Eligible,No
01077011802,Not Eligible,No
01079979100,Not Eligible,Low-Income Community
01079979201,Severe Distress or Non-Metropolitan,No
01079979202,Eligible,No
01079979300,Not Eligible,No
01079979400,Severe Distress or Non-Metropolitan,No
01079979501,Eligible,No
01079979502,Eligible,No
01079979600,Not Eligible,No
01079979700,Not Eligible,No
01079979800,Not Eligible,No
01079979900,Not Eligible,No
01081040201,Deep Distress or High Migration Rural County,No
01081040202,Not Eligible,No
01081040300,Severe Distress or Non-Metropolitan,Low-Income Community
01081040401,Deep Distress or High Migration Rural County,No
01081040402,Not Eligible,No
01081040403,Not Eligible,No
01081040501,Not Eligible,No
01081040502,Severe Distress or Non-Metropolitan,No
01081040602,Eligible,No
01081040603,Deep Distress or High Migration Rural County,No
01081040605,Deep Distress or High Migration Rural County,No
01081040606,Deep Distress or High Migration Rural County,No
01081040607,Deep Distress or High Migration Rural County,No
01081040700,Deep Distress or High Migration Rural County,Low-Income Community
01081040801,Deep Distress or High Migration Rural County,No
01081040802,Deep Distress or High Migration Rural County,No
01081040901,Eligible,No
01081040903,Eligible,No
01081040904,Severe Distress or Non-Metropolitan,No
01081041001,Not Eligible,No
01081041002,Severe Distress or Non-Metropolitan,No
01081041101,Not Eligible,No
01081041102,Not Eligible,No
01081041103,Not Eligible,No
01081041104,Not Eligible,No
01081041200,Not Eligible,No
01081041300,Not Eligible,Low-Income Community
01081041400,Deep Distress or High Migration Rural County,No
01081041600,Eligible,No
01081041701,Not Eligible,No
01081041702,Severe Distress or Non-Metropolitan,No
01081041703,Eligible,No
01081041801,Not Eligible,No
01081041802,Severe Distress or Non-Metropolitan,No
01081041803,Eligible,No
01081041901,Eligible,No
01081041902,Not Eligible,No
01081041903,Eligible,No
01081042002,Not Eligible,No
01081042003,Not Eligible,No
01081042005,Not Eligible,No
01081042006,Eligible,No
01081042007,Not Eligible,No
01081042008,Not Eligible,No
01081042009,Severe Distress or Non-Metropolitan,No
01081042101,Not Eligible,No
01081042103,Severe Distress or Non-Metropolitan,No
01081042104,Not Eligible,No
01083020101,Not Eligible,No
01083020103,Not Eligible,No
01083020104,Eligible,No
01083020201,Eligible,Low-Income Community
01083020202,Not Eligible,No
01083020300,Not Eligible,No
01083020402,Not Eligible,No
01083020403,Eligible,No
01083020404,Eligible,No
01083020500,Deep Distress or High Migration Rural County,No
01083020600,Severe Distress or Non-Metropolitan,Low-Income Community
01083020700,Severe Distress or Non-Metropolitan,Low-Income Community
01083020803,Not Eligible,No
01083020804,Not Eligible,No
01083020805,Severe Distress or Non-Metropolitan,No
01083020806,Not Eligible,No
01083020900,Not Eligible,No
01083021000,Eligible,No
01083021101,Deep Distress or High Migration Rural County,No
01083021102,Not Eligible,No
01083021201,Not Eligible,No
01083021202,Not Eligible,No
01083021203,Not Eligible,No
01085780800,Eligible,Low-Income Community
01085781000,Eligible,No
01085781100,Deep Distress or High Migration Rural County,No
01085781200,Deep Distress or High Migration Rural County,No
01087231400,Deep Distress or High Migration Rural County,No
01087231500,Deep Distress or High Migration Rural County,Low-Income Community
01087231601,Not Eligible,No
01087231602,Deep Distress or High Migration Rural County,No
01087231603,Not Eligible,Low-Income Community
